id,Date,Time,Transaction,Item,Hour,Day_of_Week,Weekend
0,10/30/2016 0:00,10/23/2018 9:58,1,Bread,9,Sunday,Weekend
1,10/30/2016 0:00,10/23/2018 10:05,2,Scandinavian,10,Sunday,Weekend
2,10/30/2016 0:00,10/23/2018 10:05,2,Scandinavian,10,Sunday,Weekend
3,10/30/2016 0:00,10/23/2018 10:07,3,Hot chocolate,10,Sunday,Weekend
4,10/30/2016 0:00,10/23/2018 10:07,3,Jam,10,Sunday,Weekend
5,10/30/2016 0:00,10/23/2018 10:07,3,Cookies,10,Sunday,Weekend
6,10/30/2016 0:00,10/23/2018 10:08,4,Muffin,10,Sunday,Weekend
7,10/30/2016 0:00,10/23/2018 10:13,5,Coffee,10,Sunday,Weekend
8,10/30/2016 0:00,10/23/2018 10:13,5,Pastry,10,Sunday,Weekend
9,10/30/2016 0:00,10/23/2018 10:13,5,Bread,10,Sunday,Weekend
10,10/30/2016 0:00,10/23/2018 10:16,6,Medialuna,10,Sunday,Weekend
11,10/30/2016 0:00,10/23/2018 10:16,6,Pastry,10,Sunday,Weekend
12,10/30/2016 0:00,10/23/2018 10:16,6,Muffin,10,Sunday,Weekend
13,10/30/2016 0:00,10/23/2018 10:19,7,Medialuna,10,Sunday,Weekend
14,10/30/2016 0:00,10/23/2018 10:19,7,Pastry,10,Sunday,Weekend
15,10/30/2016 0:00,10/23/2018 10:19,7,Coffee,10,Sunday,Weekend
16,10/30/2016 0:00,10/23/2018 10:19,7,Tea,10,Sunday,Weekend
17,10/30/2016 0:00,10/23/2018 10:20,8,Pastry,10,Sunday,Weekend
18,10/30/2016 0:00,10/23/2018 10:20,8,Bread,10,Sunday,Weekend
19,10/30/2016 0:00,10/23/2018 10:21,9,Bread,10,Sunday,Weekend
20,10/30/2016 0:00,10/23/2018 10:21,9,Muffin,10,Sunday,Weekend
21,10/30/2016 0:00,10/23/2018 10:25,10,Scandinavian,10,Sunday,Weekend
22,10/30/2016 0:00,10/23/2018 10:25,10,Medialuna,10,Sunday,Weekend
23,10/30/2016 0:00,10/23/2018 10:27,11,Bread,10,Sunday,Weekend
24,10/30/2016 0:00,10/23/2018 10:27,11,Medialuna,10,Sunday,Weekend
25,10/30/2016 0:00,10/23/2018 10:27,11,Bread,10,Sunday,Weekend
26,10/30/2016 0:00,10/23/2018 10:27,11,NONE,10,Sunday,Weekend
27,10/30/2016 0:00,10/23/2018 10:30,12,Jam,10,Sunday,Weekend
28,10/30/2016 0:00,10/23/2018 10:30,12,Coffee,10,Sunday,Weekend
29,10/30/2016 0:00,10/23/2018 10:30,12,Tartine,10,Sunday,Weekend
30,10/30/2016 0:00,10/23/2018 10:30,12,Pastry,10,Sunday,Weekend
31,10/30/2016 0:00,10/23/2018 10:30,12,Tea,10,Sunday,Weekend
32,10/30/2016 0:00,10/23/2018 10:31,13,Basket,10,Sunday,Weekend
33,10/30/2016 0:00,10/23/2018 10:31,13,Bread,10,Sunday,Weekend
34,10/30/2016 0:00,10/23/2018 10:31,13,Coffee,10,Sunday,Weekend
35,10/30/2016 0:00,10/23/2018 10:32,14,Bread,10,Sunday,Weekend
36,10/30/2016 0:00,10/23/2018 10:32,14,Medialuna,10,Sunday,Weekend
37,10/30/2016 0:00,10/23/2018 10:32,14,Pastry,10,Sunday,Weekend
38,10/30/2016 0:00,10/23/2018 10:34,15,NONE,10,Sunday,Weekend
39,10/30/2016 0:00,10/23/2018 10:34,15,NONE,10,Sunday,Weekend
40,10/30/2016 0:00,10/23/2018 10:34,15,Mineral water,10,Sunday,Weekend
41,10/30/2016 0:00,10/23/2018 10:34,15,Scandinavian,10,Sunday,Weekend
42,10/30/2016 0:00,10/23/2018 10:37,16,Bread,10,Sunday,Weekend
43,10/30/2016 0:00,10/23/2018 10:37,16,Medialuna,10,Sunday,Weekend
44,10/30/2016 0:00,10/23/2018 10:37,16,Coffee,10,Sunday,Weekend
45,10/30/2016 0:00,10/23/2018 10:38,17,Hot chocolate,10,Sunday,Weekend
46,10/30/2016 0:00,10/23/2018 10:41,18,Farm House,10,Sunday,Weekend
47,10/30/2016 0:00,10/23/2018 10:43,19,Farm House,10,Sunday,Weekend
48,10/30/2016 0:00,10/23/2018 10:43,19,Bread,10,Sunday,Weekend
49,10/30/2016 0:00,10/23/2018 10:45,20,Bread,10,Sunday,Weekend
50,10/30/2016 0:00,10/23/2018 10:45,20,Medialuna,10,Sunday,Weekend
51,10/30/2016 0:00,10/23/2018 10:49,21,Coffee,10,Sunday,Weekend
52,10/30/2016 0:00,10/23/2018 10:49,21,Coffee,10,Sunday,Weekend
53,10/30/2016 0:00,10/23/2018 10:49,21,Medialuna,10,Sunday,Weekend
54,10/30/2016 0:00,10/23/2018 10:49,21,Bread,10,Sunday,Weekend
55,10/30/2016 0:00,10/23/2018 10:52,22,Jam,10,Sunday,Weekend
56,10/30/2016 0:00,10/23/2018 10:53,23,Scandinavian,10,Sunday,Weekend
57,10/30/2016 0:00,10/23/2018 10:53,23,Muffin,10,Sunday,Weekend
58,10/30/2016 0:00,10/23/2018 10:54,24,Bread,10,Sunday,Weekend
59,10/30/2016 0:00,10/23/2018 10:55,25,Scandinavian,10,Sunday,Weekend
60,10/30/2016 0:00,10/23/2018 10:56,26,Fudge,10,Sunday,Weekend
61,10/30/2016 0:00,10/23/2018 11:02,27,Scandinavian,11,Sunday,Weekend
62,10/30/2016 0:00,10/23/2018 11:03,28,Coffee,11,Sunday,Weekend
63,10/30/2016 0:00,10/23/2018 11:03,28,Bread,11,Sunday,Weekend
64,10/30/2016 0:00,10/23/2018 11:05,29,Bread,11,Sunday,Weekend
65,10/30/2016 0:00,10/23/2018 11:05,29,Jam,11,Sunday,Weekend
66,10/30/2016 0:00,10/23/2018 11:05,29,NONE,11,Sunday,Weekend
67,10/30/2016 0:00,10/23/2018 11:07,30,Bread,11,Sunday,Weekend
68,10/30/2016 0:00,10/23/2018 11:12,31,Basket,11,Sunday,Weekend
69,10/30/2016 0:00,10/23/2018 11:16,32,Scandinavian,11,Sunday,Weekend
